vus,tps,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,cpu_core0_max_pct,disk_dev_max_pct
1,22.884024456570646,43.53639209606988,0,47.68825,47.869625,0,3.96,11.10
100,2186.994752585703,44.72245493269354,0,47.9878099,48.1396,0,38.46,39.20
300,2917.088856216159,73.14679420130882,0,48.042,51.906819899999995,0,94.38,65.60
500,2972.627633657673,128.33678196110824,0,48.003699,51.6880995,0,100.00,66.80
1000,2942.9408295003277,277.6645718674082,0,48.1304406,55.18806099999995,0,93.10,67.60
1300,2567.4581274354337,375.7851481037269,0,48.035958799999996,51.969060199999994,0,92.59,69.20
1700,2572.405677840548,437.96835160255216,0,47.98,51.67990015,0,80.82,74.40
2100,2483.84448669692,524.5398986720746,0,49.0103,61.442400500000005,0,96.74,422.80
4000,2533.743619192533,1064.4650646141763,0,50.57874040000001,59.895000999999986,0,98.97,70.80
7000,2591.675053203695,2026.3946764529815,0,51.4394,67.81564900000004,0,90.36,65.20
